** CONVERTED FROM C:\Users\hanzh\Desktop\Pupillometry Demo\data\_Forced_Response_scene_contrast_2022_Jul_26_1425.EDF using edfapi 4.2.1 Win32  EyeLink Dataviewer Sub ComponentApr 12 2021 on Tue Jul 26 14:36:36 2022
** DATE: Tue Jul 26 14:22:21 2022
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL Version 1.4 Sensor=BHF
** SERIAL NUMBER: CL1-76M08
** CAMERA_CONFIG: 76M08140.SCD
**

MSG	524982 NO Reply is disabled for function eyelink_cal_result
MSG	525033 RECCFG CR 500 2 0 R
MSG	525033 ELCLCFG MTABLE
MSG	525033 GAZE_COORDS 0.00 0.00 1600.00 1200.00
MSG	525033 THRESHOLDS R 54 195
MSG	525033 ELCL_PROC ELLIPSE  (5)
MSG	525033 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	525034 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
MSG	525034 !MODE RECORD CR 500 2 0 R
525270	  777.6	  621.1	 7931.0	...
525272	  777.7	  621.2	 7929.0	...
525274	  777.8	  622.0	 7931.0	...
525276	  777.9	  623.2	 7935.0	...
525278	  777.9	  623.6	 7938.0	...
525280	  777.8	  624.1	 7940.0	...
525282	  778.4	  624.1	 7943.0	...
525284	  779.1	  624.0	 7941.0	...
525286	  779.6	  623.7	 7937.0	...
525288	  779.5	  623.4	 7930.0	...
525290	  779.3	  623.3	 7927.0	...
525292	  779.1	  623.0	 7928.0	...
525294	  779.0	  622.2	 7932.0	...
525296	  778.9	  621.3	 7935.0	...
525298	  778.9	  622.0	 7934.0	...
525300	  779.0	  622.8	 7927.0	...
525302	  779.0	  623.1	 7921.0	...
525304	  779.3	  622.4	 7917.0	...
525306	  779.6	  622.1	 7918.0	...
525308	  780.0	  622.2	 7913.0	...
525310	  779.9	  622.1	 7906.0	...
525312	  779.9	  621.9	 7900.0	...
525314	  779.9	  622.1	 7899.0	...
525316	  780.0	  622.2	 7899.0	...
525318	  780.1	  622.3	 7892.0	...
525320	  780.1	  622.3	 7886.0	...
525322	  780.1	  622.3	 7880.0	...
525324	  780.0	  622.3	 7878.0	...
525326	  779.9	  622.3	 7873.0	...
525328	  779.7	  622.2	 7869.0	...
525330	  779.5	  621.9	 7865.0	...
525332	  779.3	  621.7	 7864.0	...
525334	  779.2	  621.6	 7856.0	...
525336	  779.2	  621.9	 7847.0	...
525338	  779.2	  621.9	 7839.0	...
525340	  779.2	  621.8	 7836.0	...
525342	  779.1	  621.6	 7831.0	...
525344	  779.0	  621.7	 7825.0	...
